title,description,rating,positive_ratio,user_reviews,price_final,tags,title-1,Indie,Singleplayer,Action,Adventure,Casual,2D,Simulation,Strategy,Atmospheric,RPG,Puzzle,Story Rich,Multiplayer,3D,Pixel Graphics,Exploration,Colorful,Cute,First-Person,Early Access,Fantasy,Funny,Free to Play,Horror,Anime,Arcade,Shooter,Retro,Female Protagonist,Family Friendly
80's OVERDRIVE,"80's OVERDRIVE is a 2D pixelart racing game, designed to take you back in time to when 8 and 16 bit consoles and arcade games ruled the world. Compete against opponents in career mode to unlock new races, buy new cars and upgrade them with state-of-the-art technologies!",Mostly Positive,76,230,9.99,"['Racing', 'Pixel Graphics', 'Driving', 'Retro', '1980s', 'Indie', 'Old School', 'Soundtrack', '2D', 'Hand-drawn', 'Arcade', 'Score Attack', 'Level Editor', 'Procedural Generation', 'Automobile Sim', 'Colorful', 'Funny', 'Singleplayer', 'Sports', 'Choices Matter']",418,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
Territory: Farming and Fighting,"From a small village of a dozen people to a small kingdom of thousands of people. Arrange for residents to work, gathering, fishing and hunting, farming and mining, processing and manufacturing. Trade, accumulate supplies, increase your strength, and fight evil forces and monsters.",Very Positive,90,120,10.99,"['Early Access', 'Simulation', 'Base Building', 'Strategy', 'City Builder', 'Farming Sim', 'RTS', 'Sandbox', 'Real Time Tactics', 'Wargame', 'Exploration', 'Pixel Graphics', '2D', 'Medieval', 'Military', 'Building', 'Management', 'War', 'Combat', 'Automation']",32262,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Guardians VR,"Guardians blends the action-packed gameplay of FPS shooters with real-time strategy and tactics, allowing players to take on the roles as both soldier and general. The game has a full single player campaign, multi player PVP and Coop modes, and a powerful in-game level editor to make your own maps.",Very Positive,88,79,19.99,"['Early Access', 'VR', 'RTS', 'FPS', 'Sci-fi', 'Singleplayer', 'Online Co-Op', 'Multiplayer', 'PvE', 'PvP', 'Action', 'Strategy', 'Real Time Tactics', 'Shooter', 'Futuristic', 'Robots', 'Tactical', 'Tutorial', 'Physics', 'Action RTS']",14197,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Chicken Invaders Universe,"A deliciously addictive core of finger-blistering shooting action, surrounded by delectable morsels of galactic exploration, spacecraft customization, and community competitions.",Very Positive,91,2152,0,"['Shooter', ""Shoot 'Em Up"", 'Top-Down Shooter', 'Action', 'Family Friendly', 'Old School', 'Casual', 'Space', 'Arcade', '2D', 'Parody', 'Cartoony', 'Cute', 'Comedy', 'Top-Down', 'Futuristic', 'Retro', 'Sci-fi', 'Aliens', 'Combat']",5960,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
Dadish,"Explore an exciting world, face off with fast-food themed foes, and reunite Dadish with his missing children in this challenging platforming adventure.",Very Positive,95,133,2.99,"['Action', 'Puzzle Platformer', 'Adventure', 'Retro', 'Cute', 'Platformer', 'Funny', '2D Platformer', 'Pixel Graphics', 'Cartoon', 'Indie', ""1990's"", 'Old School', 'Singleplayer', '2D']",7854,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
IRA,"A character-based shooter with roguelike elements, IRA celebrates the artistry of what shooter fans call “bullet hell”",Very Positive,83,99,15.99,"['Early Access', 'Bullet Hell', 'Female Protagonist', '2D', 'Roguelike', 'Music-Based Procedural Generation', 'Difficult', 'Anime', 'Twin Stick Shooter', 'Roguelite', 'Atmospheric', 'Dungeon Crawler', 'Action', 'Isometric', 'Emotional', 'Faith', 'Fantasy', 'Bullet Time', 'Choices Matter', 'Shooter']",16015,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0
Gigapocalypse,"Become a customizable giant monster with manifold skills in Gigapocalypse, inspired by classical Kaijū movies such as “Godzilla” and “King Kong” and the game classic “Rampage”.",Very Positive,96,86,9.99,"['Action', 'Casual', 'Arcade', '2D', '2D Fighter', 'Pixel Graphics', 'Colorful', 'Destruction', ""1990's"", 'Dinosaurs', 'Dragons', 'Retro', 'Indie', 'Character Customization', 'Singleplayer', 'Cute']",13505,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
GigaBash,"Claim your place as king among Titans! GigaBash is a multiplayer arena brawler with gigantic film-inspired kaiju, larger than life heroes, earth-shattering special attacks and fully destructible environments.",Very Positive,92,625,34.99,"['Superhero', 'Action', 'Fighting', 'Party', '4 Player Local', 'Multiplayer', 'Casual', 'Nostalgia', 'Family Friendly', 'Top-Down', 'Destruction', 'Singleplayer', 'Competitive', 'Combat', '3D Fighter', 'Colorful', 'Controller', 'Arcade', 'Minigames', 'Retro']",13501,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
Ark of Artemis,"Half a year passed since the world was destroyed by the angels —— Claudia decided to set off for the Demon Continent, but she was attacked by angels on her way. After gaining the power of the divine weapon, she was able to repel the angels.",Very Positive,83,189,17.99,"['Nudity', 'Sexual Content', 'Adventure', 'JRPG', 'RPG', 'Story Rich', 'Mystery Dungeon', 'Fantasy', 'Turn-Based Tactics', 'Dungeon Crawler', 'Anime', 'Party-Based RPG', 'Exploration', '2D', 'Indie', 'Colorful', 'Mature', 'Hentai', 'Third Person', 'Singleplayer']",2327,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
No Parachute,"No Parachute is a fast-paced arcade game with a pixel art style, in which you will dodge various obstacles in free fall. Try to find out what is on the other side of the tunnel, and save your arms and legs along the way!",Very Positive,92,120,4.99,"['Arcade', 'Action', 'Flight', 'Mystery Dungeon', 'Perma Death', 'Pixel Graphics', '3D', '2.5D', 'Violent', 'Top-Down', 'Underground', 'Mining', 'Singleplayer', 'Indie', 'Retro', 'Linear', 'Nature']",22367,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Golfie,"Golfie is a run-based, roguelike minigolf deck builder. Play through procedurally-generated levels, build a deck of crazy card abilities, and try to beat all 18 holes. Pick your route carefully because no two runs – or shots – are the same!",Mostly Positive,79,126,17.99,"['Roguelike', 'Deckbuilding', 'Mini Golf', 'Procedural Generation', 'Physics', 'Roguelite', 'Dungeon Crawler', 'Casual', 'Relaxing', 'Early Access', 'Card Game', 'Perma Death', 'Sports', 'Stylized', 'Funny', 'Colorful', 'Character Customization', 'Singleplayer', 'Action', 'Roguelike Deckbuilder']",13799,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Distant Memoraĵo,"This is the story, pure and sometimes frustrating, of two girls intertwined through their fumbling efforts to communicate. Learn a new language and the universal emotions behind our words!",Very Positive,99,107,19.99,"['Adventure', 'Education', 'Visual Novel', 'Anime', 'LGBTQ+', 'Cute', 'Female Protagonist', 'Romance', 'Emotional', 'Indie', 'Story Rich', 'Singleplayer', '2D', 'Choose Your Own Adventure', 'Sequel', 'Nudity', 'Sexual Content']",9227,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2089 - Space Divided,"2089 - Space Divided is a classic science fiction real-time strategy game in which you collect resources, build up your base, raise troops and destroy your opponents with tactical finesse.",Positive,90,11,17.99,"['Early Access', 'Strategy', 'RTS', 'Sci-fi', 'Base Building', 'Real Time Tactics', 'Action RTS', 'Singleplayer', 'Multiplayer', 'Crafting', 'Wargame', '3D', 'Realistic', 'Atmospheric', 'Futuristic', 'Artificial Intelligence', 'Tactical', 'War', 'Military', 'Combat']",224,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Simple Fish Adventure,"Simple Fish Adventure is an unusual short physics-based platformer. Jump like a fish, think like a fish, be a fish! Overcome obstacles and suffer. Also includes co-op for up to 4 players.",Very Positive,91,177,1.99,"['Physics', 'Simulation', 'Platformer', 'Side Scroller', 'Casual', 'Minimalist', 'Difficult', 'Adventure', 'Indie', 'Online Co-Op', 'Co-op', 'Comedy', 'Cute', 'Multiplayer', 'Singleplayer', 'Colorful', 'Short']",29014,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Jewel Match Origins 2 - Bavarian Palace Collector's Edition,"Travel back in time to the Romantic Era and build a magnificent castle in this royal match-3 adventure! Explore 200 huge levels and collect resources to construct a majestic palace for the Bavarian King. Enjoy 3 different modes: timed, relaxed, and moves limited!",Positive,92,14,9.99,"['Hidden Object', 'Casual', 'Match 3', 'Puzzle', '2D', 'Historical', 'Indie', 'Relaxing', 'Linear', 'Colorful', 'Family Friendly', 'Atmospheric', 'Building', 'Singleplayer', 'Mouse only', 'Replay Value']",16941,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Joshua's Legs,Joshua's Legs is a unique game with devious controls about a two-legged arachnid hoping to find his long lost prosthetic legs collection. Venture in a world that will only reveal its secrets to the true hardened climbers.,Positive,100,22,13.99,"['Metroidvania', 'Parkour', 'Exploration', 'Physics', '2D Platformer', 'Nonlinear', 'Atmospheric', 'Procedural Generation', 'Controller', 'Platformer', 'Action-Adventure', '2D', 'Pixel Graphics', 'Action', 'Retro', 'Casual', ""1990's"", 'Adventure', 'Minimalist', 'Singleplayer']",17021,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Extinction Eclipse,"Explore space, conquer asteroid fields to mine and extract resources. Build a fleet of spaceships and destroy the enemies in this new space action strategy adventure. Defend Humanity against an alien invader who aims to freeze Earth.",Positive,88,17,9.99,"['RTS', 'Indie', 'Space', 'Strategy', 'Resource Management', 'Action', 'Base Building', 'Sci-fi', 'Singleplayer', 'Exploration', 'Building', 'Space Sim', 'Top-Down', 'Real Time Tactics', 'Wargame', '2D', 'Economy', 'Action RTS', 'Futuristic', 'Cartoony']",11282,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exorcist,"The Exorcist is a first-person horror game. It can scare you with its dark atmosphere, which is realistic and frightening. Can you destroy the demon?",Mixed,50,18,1.99,"['Exploration', 'FPS', 'Hidden Object', '3D', 'First-Person', 'Horror', 'Psychological Horror', 'Multiple Endings', 'Choices Matter', 'Narration', 'Realistic', 'Thriller', 'Demons', 'Magic', 'Stealth', 'Atmospheric', 'Psychological', 'Mystery', 'Investigation', 'Adventure']",11244,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Hidden Mars,"Can you find the cat Felicat on Mars? They are in rockets, space stations and rovers.",Positive,92,13,1.19,"['Casual', 'Cats', 'Hidden Object', 'Female Protagonist', 'Cute', 'Point & Click', 'Puzzle', 'Exploration', '2D', 'Colorful', 'Hand-drawn', 'Space', 'Relaxing', 'Singleplayer', 'Mars', 'Cartoony']",15190,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Alone in the Dark (2008),"The game that started the popular survival horror genre returns better than ever! Players control Edward Carnby, the main character from the original Alone in the Dark, on a thrilling journey through a dark and terrifying re-creation of New York's Central Park where Carnby must discover the truth behind a dark conspiracy.",Mixed,43,699,9.99,"['Adventure', 'Action', 'Horror', 'Survival Horror', 'Atmospheric', 'Open World', 'Great Soundtrack', 'Singleplayer', 'Story Rich', 'First-Person', 'FPS', 'Third Person', 'Survival', 'Psychological Horror', 'Lovecraftian', 'Realistic', 'Cult Classic', 'Cinematic', 'Crafting', 'Choices Matter']",1673,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Agarest: Generations of War Zero,"From the void, the gods of darkness and light created Agarest, a most perfect and divine world. As the generations passed, paradise sadly fell to the ravages of time. War darkened the skies and Agarest soon became a torturous hell as the gods divided and immense armies clashed, desecrating the once beautiful land…",Mostly Positive,72,320,19.99,"['Anime', 'JRPG', 'RPG', 'Strategy', 'Adventure', 'Turn-Based', 'Turn-Based Strategy', 'Strategy RPG', 'Dating Sim', 'Singleplayer', 'Tactical', 'Fantasy', 'Visual Novel', 'Tactical RPG', 'Nudity', 'Romance', 'Story Rich', 'Action', 'Cute', 'Party-Based RPG']",1283,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Toy Soldiers: Complete,"Bring your toys to life in this action-packed, Toy Soldiers game bundle which includes the original Toy Soldiers, Toy Soldiers: Cold War, and all four DLC’s – Kaiser’s Battle, Invasion, Napalm and Evil Empire.",Mostly Positive,75,779,14.99,"['Tower Defense', 'Action', 'Strategy', 'Casual', 'Indie', 'Simulation', 'Multiplayer', 'Co-op', 'Cold War', 'Shooter', 'War', 'Singleplayer', 'Arcade', 'World War I', 'Local Co-Op', 'World War II', 'RTS']",35006,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Enigmatis 2: The Mists of Ravenwood,Enter Ravenwood Park and discover the secrets hidden in the mists…,Overwhelmingly Positive,97,877,9.99,"['Hidden Object', 'Casual', 'Adventure', 'Point & Click', 'Puzzle', 'Horror', 'Female Protagonist', 'Mystery', 'Singleplayer', 'Story Rich', 'Atmospheric', 'Detective', 'Fantasy', 'Indie', 'Great Soundtrack', '2D', 'Family Friendly']",10764,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
Freddi Fish 3: The Case of the Stolen Conch Shell,The Great Conch Shell has been stolen and it's up to Freddi Fish and Luther to catch the culprit!,Very Positive,95,220,6.99,"['Adventure', 'Casual', 'Point & Click', 'Family Friendly', 'Singleplayer', 'Nostalgia', 'Education']",12670,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total Annihilation,What began as a conflict over the transfer of consciousness from flesh to machines escalated into a war which has decimated a million worlds. The Core and the Arm have all but exhausted the resources of a galaxy in their struggle for domination.,Overwhelmingly Positive,96,2636,0.74,"['Strategy', 'RTS', 'Classic', 'Great Soundtrack', 'Sci-fi', 'Multiplayer', 'Singleplayer', 'Robots', 'Retro', 'Atmospheric', ""1990's"", 'Base Building', 'Co-op', 'Action', 'Nostalgia', 'Top-Down']",34857,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
#KILLALLZOMBIES,"#KILLALLZOMBIES is an insane twin-stick zombie shooter with Twitch streaming interactions, where you survive hordes of zombies on a dynamically changing arena and spectators may affect gameplay via special Twitch chat commands.",Very Positive,80,247,9.99,"['Action', 'Indie', 'Twin Stick Shooter', 'Zombies', 'Co-op', 'Shooter', ""Shoot 'Em Up"", 'Top-Down Shooter', 'Bullet Hell', 'Third Person', 'Hex Grid', 'Local Co-Op', 'Action Roguelike', 'Arcade', 'Arena Shooter', 'Top-Down', '3D', 'Choices Matter', 'Female Protagonist', 'PvE']",9,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Doom & Destiny,"Be ready for the nerdiest adventure of your life! Journey with four everyday friends into this turn based hilarious jrpg filled with parodies and cameos! Explore a huge fantasy world full of secrets, monsters, dungeons and preposterous villains! Nerds are storming fantasy and it's awesome!",Overwhelmingly Positive,96,2021,9.99,"['RPG', 'Indie', 'RPGMaker', 'Turn-Based Combat', 'Comedy', 'Fantasy', 'Strategy', 'JRPG', 'Pixel Graphics', 'Singleplayer', '2D', 'Funny', 'Adventure']",9419,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Ballads of Reemus: When the Bed Bites,"Reemus the insect exterminator and his companion Liam the bear match wits with giant talking ants, termites and bed bugs in hopes of impressing the citizens of Fredricus once and for all! A fully voice-acted, funny, cartoon point and click adventure with animated cutscenes, side quests and more.",Very Positive,96,56,4.99,"['Adventure', 'Indie', 'Casual', 'Comedy', 'Funny', '2D', 'Point & Click', 'Cartoony', 'Cartoon']",3237,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Winged Sakura: Mindy's Arc,"Unlock 16 characters, expand your shop, enchant your gears, and defend against waves of enemies in a brand new, fast-paced, anime-themed Strategy Defense Game! Become Mindy's savior and help her end her never ending nightmare.",Very Positive,81,141,9.99,"['Anime', 'RPG', 'Strategy', 'Tower Defense', 'Indie', 'Female Protagonist', 'Singleplayer', '2D', 'Difficult', 'Survival', 'Fast-Paced', 'Nudity', 'Visual Novel', 'Fantasy']",37558,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Big Pharma,"What if you had it in your power to rid the world of disease, to improve the lives of millions, to ease suffering and cure the sick… and earn a tidy profit? As the head of your own Pharmaceutical Conglomerate you have this power resting in your hands. Will you use it for good?",Mostly Positive,77,1317,24.99,"['Management', 'Simulation', 'Medical Sim', 'Strategy', 'Indie', 'Puzzle', 'Automation', 'Economy', 'Singleplayer', 'Isometric', 'Casual', 'Resource Management', 'Base Building', '2D', 'Sandbox', 'Moddable', 'Family Friendly', 'Building', '2.5D', 'Cute']",3858,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Drone Swarm,"Drone Swarm is a very unique take on tactical games. Control 32,000 drones in quick, fast-paced fights. Combine your swarm abilities and counter constantly evolving attacks of your opponents. Survive varying enemy waves, get upgrades to your swarm, and make it to the next system alive!",Mixed,65,203,24.99,"['Sci-fi', 'Action', 'Real Time Tactics', 'Combat', 'Physics', 'Indie', 'Singleplayer', 'Tactical', 'Strategy', 'RTS', 'Space', 'Fast-Paced', 'Real-Time', 'Experimental', 'Cartoony', 'Adventure', 'Story Rich', 'Top-Down', 'Fighting', 'Flight']",9855,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turbo Pug,"It's time to unleash your inner pug! Turbo Pug is a casual runner with difficult, random, procedurally generated levels. Enjoy random weather and try to avoid getting zapped by lightning. Unlock new costumes for your pug and new characters to play as. Please try not to squish your pug!",Very Positive,93,2238,1.99,"['Indie', 'Pixel Graphics', 'Casual', '2D', 'Difficult', 'Side Scroller', 'Runner', 'Platformer', 'Singleplayer', 'Cute', 'Memes', 'Dog', 'Great Soundtrack']",35445,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sometimes Always Monsters,"Join a cross-country bus tour as a newlywed author, and combat vicious rumors that you're a plagiarist. Truth isn't important, when you control the narrative.",Mostly Positive,74,112,9.99,"['RPG', 'Indie', 'Choices Matter', 'Story Rich', 'LGBTQ+', 'Sequel', 'Life Sim', 'Interactive Fiction', 'Singleplayer', 'Philosophical', 'Top-Down', 'RPGMaker']",29637,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOLFLAME,"Brought to you by the makers of GIGANTIC ARMY, Supercharged Robot VULKAISER, and SATAZIUS, WOLFLAME is a return to the form of glorious 2D vertical vertical shooters like Raiden, Raptor, and Twin Cobra.",Very Positive,88,85,5.99,"[""Shoot 'Em Up"", 'Action', 'Indie', 'Arcade', 'Shooter', 'Bullet Hell', 'Singleplayer', '2D', 'Pixel Graphics', 'Casual', 'Top-Down', 'Retro', 'Sci-fi', 'Score Attack']",36814,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Ghost 1.0,"A mysterious agent, capable of becoming a digital ghost, sneaks aboard the Nakamura Space Station. This is where the fun begins: the station is well-protected with its heavy defences, never-ending arsenal of weapons, and mysterious artifacts. It will all have to be destroyed.",Very Positive,91,1780,12.99,"['Indie', 'Metroidvania', 'Action', 'Roguevania', 'Female Protagonist', 'Adventure', 'Cyberpunk', 'Platformer', '2D', 'Sci-fi', 'Singleplayer', 'Side Scroller', 'Robots', 'Anime', 'Roguelike', 'Comedy', 'Difficult']",13426,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Maze: Subject 360 Collector's Edition,"Here, you have no name. You're simply Subject 360",Positive,100,32,9.99,"['Adventure', 'Casual', 'Hidden Object', 'Horror']",20037,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RAGE 2,"RAGE 2 brings together two studio powerhouses – Avalanche Studios, masters of open world insanity, and id Software, creators of the first-person shooter – to deliver a carnival of carnage where you can go anywhere, shoot anything, and explode everything.",Mixed,62,12779,39.99,"['Action', 'FPS', 'Open World', 'Post-apocalyptic', 'Vehicular Combat', 'Automobile Sim', 'Singleplayer', 'Gore', 'Shooter', 'Violent', 'First-Person', 'Multiplayer', 'Blood', 'Funny', 'Exploration', 'Sci-fi', 'Adventure', 'Cyberpunk', 'Racing', 'Sandbox']",25606,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Army Men II,"Army Men II, the sequel to the best-selling title Army Men, takes plastic toy soldier warfare into the kitchen, bedroom, front yard, and garage. Once again Sarge will lead his heroic Green forces into head-melting, plastic-body-part-exploding, combat mayhem; only this time the battle is for control of the kitchen sink!",Mixed,66,103,1.49,"['Strategy', 'Action', 'Classic']",2390,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR WARS™ SHADOWS OF THE EMPIRE™,"As Luke Skywalker and the Rebel Alliance struggle to defeat Darth Vader and the Empire, a new threat arises. Dark Prince Xizor aspires to take Darth Vader's place at the Emperor's side. As Dash Rendar, it's up to you to protect Luke and help the Alliance. May the Force be with you!",Mostly Positive,73,485,2.09,"['Adventure', 'Action', 'Space', 'Classic', 'Third-Person Shooter', 'Singleplayer', 'Sci-fi', ""1990's""]",27711,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Think of the Children,"Little Bobby’s dead, the BBQ is on fire, Jen’s eating poisonous berries and the birthday cake still needs icing. It’s just another wonderful day out with the kids in Think of the Children, a frantic co-operative parenting simulator.",Mixed,68,93,1.99,"['Action', '4 Player Local', 'Co-op', 'Local Co-Op', 'Multiplayer', 'Local Multiplayer', 'Indie', 'Funny', 'Adventure', 'Fast-Paced', 'Difficult']",34352,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vinyl Reality - DJ in VR,Vinyl Reality is the most realistic and authentic simulation of DJing with vinyl in VR. Load and mix your own tracks with two fully-functional turntables and a DJ mixer. Easily record or stream sets from awesome audio reactive stages. Personalize your experience with custom environments and avatars.,Very Positive,93,129,24.99,"['Audio Production', 'Indie', 'Simulation', 'VR', 'Music', 'Immersive Sim', 'Education']",36539,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alicia Quatermain: Secrets Of The Lost Treasures,Alicia Quatermain sets out on a long and dangerous journey to find out why her father had disappeared under mysterious circumstances,Very Positive,85,82,1.49,"['Casual', 'Strategy', 'Indie', 'Resource Management', 'Time Management', 'Female Protagonist', 'Family Friendly', 'Puzzle', 'Adventure', 'Cute', 'Mouse only', 'Singleplayer']",1559,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Hop Step Sing! kiss×kiss×kiss (HQ Edition),"Another VIP ticket to Japan's newest idol group, Hop Step Sing!, is yours for the taking! Niina, Mikasa and Shikiri are back with their second single: ""kiss×kiss×kiss"", a melodious love song to follow their debut; ""Kisekiteki Shining!"".",Very Positive,92,53,4.99,"['Casual', 'Anime', 'VR', 'Cute', 'Simulation']",15478,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Caribbean Sail,"Name your crew, purchase supplies, sail the world, harpoon fish, plunder your enemies, die horribly, unlock a new Captain and do it all over again!",Very Positive,94,395,14.99,"['Pirates', 'Adventure', 'Sailing', 'Choices Matter', 'Action', 'Simulation', 'Pixel Graphics', 'RPG', 'Strategy', 'Naval Combat', 'Open World', 'Naval', 'Retro', 'Roguelike', 'Singleplayer', 'Management', '2D', 'Psychological Horror', 'Replay Value', 'Casual']",32564,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Supposedly Wonderful Future,"A science fiction story about screens, small rooms, and existential dread told through a series of RPG-style dialogues.",Positive,92,14,0.99,"['Adventure', 'Indie', 'Story Rich', 'Sci-fi', 'Visual Novel']",31367,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neversong,"Help little Peet hack-and-slash his way through a beautifully haunting coma. A hand-drawn action-adventure through a dreamy world filled with fleshy monsters, insane grown-ups, and sad children looking for their mommies.",Very Positive,87,639,14.99,"['Casual', 'Adventure', 'Action', 'Story Rich', 'RPG', 'Surreal', 'Singleplayer', 'Emotional', 'Narration', 'Psychological Horror', 'Colorful', 'Relaxing', 'Platformer', 'Atmospheric', 'Controller', 'Time Attack', 'Horror', '2D', 'Indie', 'Great Soundtrack']",22106,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Ninja Stealth 3,"After a long vacation our ninja is a little rusty, can you help him with his training? Ninja Stealth III brings you 30 new challenging levels, are you ready?",Very Positive,80,299,0.49,"['Stealth', 'Strategy', 'Ninja', 'Indie', 'Casual', 'Action-Adventure', 'Difficult', 'Puzzle', '2D', 'Top-Down', 'Singleplayer', 'Action', 'Collectathon', 'Martial Arts', 'Logic', 'Adventure', 'Arcade', 'Sequel', 'RPG']",22318,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fantasy Quest Solitaire,At the very last moment the Fairy Land was saved from the dark shadows. But now absolute chaos is threatening its peaceful denizens. King Feodor asks the magic Fairies for help. Are you ready to face this challenge? Play your cards right and solve many challenging quests.,Very Positive,82,73,0.89,"['Solitaire', 'Casual', 'Card Game', 'Fantasy', 'Adventure', 'Puzzle', 'Hand-drawn', 'Family Friendly', 'Board Game', 'Time Management', 'Indie', 'Replay Value', 'Colorful', 'Strategy', 'Relaxing', 'Tabletop', 'Singleplayer', 'Addictive']",11659,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
